,PlayerName,Team,Age,Country,DraftYear,GP,PTS,REB,AST
0,Randy Livingston,HOU,22,USA,1996,64,3.9,1.5,2.4
1,Gaylon Nickerson,WAS,28,USA,1994,4,3.8,1.3,0.3
2,George Lynch,VAN,26,USA,1993,41,8.3,6.4,1.9
3,George McCloud,LAL,30,USA,1989,64,10.2,2.8,1.7
4,George Zidek,DEN,23,USA,1995,52,2.8,1.7,0.3
5,Gerald Wilkins,ORL,33,USA,1985,80,10.6,2.2,2.2
6,Gheorghe Muresan,WAS,26,USA,1993,73,10.6,6.6,0.4
7,Glen Rice,CHH,30,USA,1989,79,26.8,4,2
8,Glenn Robinson,MIL,24,USA,1994,80,21.1,6.3,3.1
9,Grant Hill,DET,24,USA,1994,80,21.4,9,7.3
10,Gary Trent,POR,22,USA,1995,82,10.8,5.2,1.1
11,Grant Long,DET,31,USA,1988,65,5,3.4,0.6
12,Greg Anthony,VAN,29,USA,1991,65,9.5,2.8,6.3
13,Greg Dreiling,DAL,33,USA,1986,40,2,1.9,0.3
14,Greg Foster,UTA,28,USA,1990,79,3.5,2.4,0.4
15,Greg Graham,SEA,26,USA,1993,28,3.3,0.5,0.4
16,Greg Minor,BOS,25,USA,1994,23,9.6,3.5,1.5
17,Greg Ostertag,UTA,24,USA,1995,77,7.3,7.3,0.4
18,Hakeem Olajuwon,HOU,34,Nigeria,1984,78,23.2,9.2,3
19,Harvey Grant,WAS,31,USA,1988,78,4.1,3.3,0.9
20,Haywoode Workman,IND,31,USA,1989,4,5.5,1.8,2.8
21,Greg Anderson,SAS,33,USA,1987,82,3.9,5.5,0.4
22,Gary Payton,SEA,28,USA,1990,82,21.8,4.6,7.1
23,Gary Grant,MIA,32,USA,1988,28,3.9,1.4,1.6
24,Fred Roberts,DAL,36,USA,1982,12,1.8,0.8,0
25,Eldridge Recasner,ATL,29,USA,1992,71,5.7,1.6,1.3
26,Elliot Perry,MIL,28,USA,1991,82,6.9,1.5,3
27,Elmer Bennett,DEN,27,USA,1992,9,2.4,0.4,1.2
28,Elmore Spencer,SEA,27,USA,1992,1,0,0,0
29,Emanual Davis,HOU,28,USA,Undrafted,13,5,1.7,2
30,Ennis Whatley,POR,34,USA,1983,3,1.3,1,1
31,Eric Leckner,VAN,31,USA,1988,20,1.7,1.8,0.3
32,Eric Mobley,VAN,27,USA,1994,28,2.6,2.1,0.5
33,Eric Montross,NJN,25,USA,1994,78,4.4,6.6,0.8
34,Eric Murdock,DEN,29,USA,1991,12,3.8,0.9,2
35,Eric Piatkowski,LAC,26,USA,1994,65,6,1.6,0.8
36,Eric Snow,SEA,24,USA,1995,67,3,1,2.4
37,Eric Williams,BOS,24,USA,1995,72,15,4.6,1.8
38,Erick Dampier,IND,21,USA,1996,72,5.1,4.1,0.6
39,Erick Strickland,DAL,23,USA,Undrafted,28,10.6,3.2,2.4
40,Ervin Johnson,DEN,29,USA,1993,82,7.1,11.1,0.9
41,Evric Gray,NJN,27,USA,Undrafted,5,2.6,0.6,0.4
42,Felton Spencer,GSW,29,USA,1990,73,5.1,5.7,0.3
43,Frank Brickowski,BOS,37,USA,1981,17,4.8,2,0.9
44,Frankie King,PHI,25,USA,1995,7,2.9,2,0.7
45,Fred Hoiberg,IND,24,USA,1995,47,4.8,1.7,0.9
46,Henry James,ATL,31,USA,Undrafted,53,6.7,1.5,0.4
47,Elden Campbell,LAL,28,USA,1990,77,14.9,8,1.6
48,Herb Williams,NYK,39,USA,1981,21,1.9,1.5,0.2
49,Horace Grant,ORL,31,USA,1987,67,12.6,9,2.4
50,Jerome Williams,DET,24,USA,1996,33,1.5,1.5,0.2
51,Jerry Stackhouse,PHI,22,USA,1995,81,20.7,4.2,3.1
52,Jim Jackson,NJN,26,USA,1992,77,15.9,5.3,4.1
53,Jim McIlvaine,SEA,24,USA,1994,82,3.8,4,0.3
54,Jimmy Carruth,MIL,27,USA,Undrafted,4,1.3,1,0
55,Jimmy King,DEN,23,USA,1995,2,3,1,1
56,Jimmy Oliver,TOR,27,USA,1991,4,2.8,1.3,0.3
57,Joe Courtney,SAS,27,USA,Undrafted,9,2.8,1.8,0
58,Joe Dumars,DET,34,USA,1985,79,14.7,2.4,4
59,Jerome Kersey,LAL,35,USA,1984,70,6.8,5.2,1.3
60,Joe Kleine,NJN,35,USA,1985,59,2.8,3.4,0.6
61,Joe Stephens,HOU,24,USA,Undrafted,2,1.5,1.5,0
62,Joe Wolf,MIL,32,USA,1987,56,1.7,2,0.4
63,John Crotty,MIA,27,USA,Undrafted,48,4.8,1,2.1
64,John Long,TOR,40,USA,1978,32,4,1.3,0.7
65,John Starks,NYK,31,USA,Undrafted,77,13.8,2.7,2.8
66,John Stockton,UTA,35,USA,1984,82,14.4,2.8,10.5
67,John Wallace,NYK,23,USA,1996,68,4.8,2.3,0.5
